schema_name,table_name
dm,ad_attribution_historical_v3
dm,ad_attribution_v0_all
dm,ad_attribution_v1_all
dm,ad_attribution_v3_all
dm,ad_customer_professional_map
dm,ad_customer_professional_map_201805
dm,ad_customer_professional_map_201805_bkp
dm,ad_customer_professional_map_201806
dm,ad_customer_professional_map_201807
dm,ad_dashboard_call_data
dm,ad_dashboard_professional_data
dm,ad_dashboard_professional_info
dm,ad_dashboard_raw_contact_data
dm,ad_dim
dm,ad_dimension
dm,ad_events_metric
dm,ad_market_dimension
dm,ad_mkt_dim
dm,ad_pricing_ppc
dm,ad_pricing_snapshot_fact
dm,ad_pricing_snapshot_fact_block
dm,ad_pricing_snapshot_fact_block_historical
dm,ad_pricing_snapshot_fact_block_v4
dm,ad_pricing_snapshot_fact_historical
dm,ad_region_dimension
dm,ad_regn_dim
dm,ad_template_metrics_daily
dm,ad_template_metrics_monthly
dm,ad_template_metrics_weekly
dm,ad_weight_block_conversion
dm,ad_weights_metric
dm,advice_session_fact
dm,adwords_geo_performance
dm,adwords_keyword_performance
dm,adwords_keyword_performance_pbx
dm,all_professional_impressions
dm,all_professional_impressions_by_category
dm,amm2_daily_forecast
dm,amm2_daily_prediction
dm,amm_ad_performance_dashboard
dm,amm_daily_forecast
dm,amm_daily_prediction
dm,amm_daily_prediction_archive
dm,amm_daily_prediction_archive2
dm,amm_market_group
dm,amm_page_type_daily_impression_count
dm,amm_page_type_daily_impressions
dm,amm_page_type_daily_pageviews
dm,amm_page_type_monthly_impression_count
dm,amm_page_type_monthly_impressions
dm,amm_professional_review_snapshot
dm,amm_subscription_mrr_snapshot
dm,amm_twilio_snapshot
dm,amm_v2_1_daily_forecast
dm,amm_v2_1_daily_prediction
dm,amm_v2_2_daily_forecast
dm,amm_v2_2_daily_prediction
dm,answer_dimension
dm,answer_metrics
dm,answer_status_metrics
dm,as_twilio_timestamped_calls
dm,as_twilio_timestamped_calls_sample_nik1
dm,attorney_response
dm,attribution_all
dm,attribution_historical
dm,avvo_pro_inventory_dimension
dm,avvo_pro_lite_inventory_dimension
dm,best_bets
dm,billing_report
dm,billing_report_purchase
dm,billing_report_purchase_adjusted_report
dm,billing_report_refund
dm,billing_report_refund_product_line
dm,bing_report
dm,block_price_history
dm,block_release_da_monthly
dm,block_release_markets
dm,block_release_monthly
dm,bs_action_tracking
dm,bs_expired
dm,bs_saves
dm,business_partner_dimension
dm,call_att_sid_updates2_j
dm,call_detail_rec_fact
dm,call_quality_ind_dim
dm,census_data
dm,census_hist_lawyer_office_by_employee
dm,census_hist_lawyer_office_by_revenue
dm,census_hist_zip_zcta_map
dm,census_lawyer_office_by_employee
dm,census_lawyer_office_by_revenue
dm,census_zip_zcta_map
dm,channel_identity_taxonomy
dm,channel_mapping
dm,chase_payment_reconciliation
dm,chase_payment_reconciliation_201811_20181206
dm,claimed_professional_path1_sf
dm,claimed_professional_path1_sf_current
dm,client_dimension
dm,cms_content_data
dm,cms_content_qa_guides_topics
dm,cntct_methd_dim
dm,contact_event_detail_metrics
dm,contact_event_metrics_daily
dm,contact_event_metrics_monthly
dm,contacts_by_ad_market
dm,contacts_by_attorney_geo_pa
dm,cost_per_lead
dm,cross_sell_counts
dm,cross_sell_counts_by_session
dm,cross_sell_first_payments
dm,cross_sell_hosting_location
dm,cross_sell_payments
dm,cross_sell_pv_counts
